Type,Number,Company,Location,City,Province,Country,Latitude,Longitude
2,172,Cainiao,北京市丰台区嘉园路辅路,Beijing,Beijing,China,39.855373,116.372509
2,173,Cainiao,北京市大兴区旧宫镇清逸园小区1号楼,Beijing,Beijing,China,39.809416,116.453118
2,174,Cainiao,回龙观街道龙乡中区10号楼菜鸟驿站,Beijing,Beijing,China,40.068344,116.343391
2,175,Cainiao,回龙观新康园小区南门12号楼底商家百惠超市,Beijing,Beijing,China,40.070543,116.355507
2,176,Cainiao,北京市海淀区清河街道安宁庄西路2号安宁庄西路9号院25号楼,Beijing,Beijing,China,40.047834,116.322693
2,177,Cainiao,北京市海淀区,Beijing,Beijing,China,40.027346,116.350927
2,178,Cainiao,学院路街道清华东路27号院5号楼菜鸟驿站,Beijing,Beijing,China,40.006996,116.357341
2,179,Cainiao,学院路14号院15号楼前小停车场菜鸟驿站,Beijing,Beijing,China,40.008472,116.358021
2,180,Cainiao,温泉镇白家疃西口尚峰尚水尚品园3号楼1单元菜鸟驿站,Beijing,Beijing,China,40.050049,116.191491
2,181,Cainiao,青龙桥街道红山口甲三号,Beijing,Beijing,China,40.024265,116.272801
2,182,Cainiao,北京市西城区北礼士路103号平价超市,Beijing,Beijing,China,39.940037,116.359696
2,183,Cainiao,展览路街道甘家口1号楼,Beijing,Beijing,China,39.931499,116.33596
2,184,Cainiao,三环到四环之间海淀定慧东里24号楼菜鸟驿站,Beijing,Beijing,China,39.927428,116.292277
2,185,Cainiao,定慧西里20号楼菜鸟驿站,Beijing,Beijing,China,39.928957,116.289045
2,186,Cainiao,北京市海淀区四季青镇四季青常青园一区7号楼,Beijing,Beijing,China,39.961833,116.277343
2,187,Cainiao,椿楸嘉园11号楼1单元602室西门菜鸟驿站,Beijing,Beijing,China,39.943747,116.259243
2,188,Cainiao,苹果园街道西黄新村北里12号楼菜鸟驿站,Beijing,Beijing,China,39.941925,116.20947
2,189,Cainiao,金顶阳光枫景园3号楼菜鸟驿站,Beijing,Beijing,China,39.935687,116.173262
2,190,Cainiao,北京市石景山区金顶街街道金顶阳光柳青园9号楼,Beijing,Beijing,China,39.934254,116.170713
2,191,Cainiao,北京市石景山区金顶北路18号院13号楼,Beijing,Beijing,China,39.932829,116.172771
2,192,Cainiao,北京市丰台区右安门街道右安门外玉林里37号楼,Beijing,Beijing,China,39.869143,116.365736
2,193,Cainiao,丰台街道丰台北路庄维花园4号楼菜鸟驿站,Beijing,Beijing,China,39.870606,116.296295
2,194,Cainiao,文体路永善里2号楼,Beijing,Beijing,China,39.855146,116.292584
2,195,Cainiao,狼垡一村停车场旁菜鸟驿站,Beijing,Beijing,China,39.783442,116.293387
2,196,Cainiao,北京市房山区市房山区长阳镇金地朗悦一期7号楼,Beijing,Beijing,China,39.738394,116.198988
2,197,Cainiao,长阳镇九洲溪雅苑二区15号楼菜鸟驿站,Beijing,Beijing,China,39.778077,116.185647
2,198,Cainiao,北京市房山区黄辛庄东里15号楼菜鸟驿站,Beijing,Beijing,China,39.761646,116.154747
2,199,Cainiao,北京市房山区拱辰街道东羊庄新村二号楼菜鸟驿站,Beijing,Beijing,China,39.735801,116.170989
