Type,Number,Company,City,Province,Country,Latitude,Longitude
2,157,Cainiao,Beijing,Beijing,China,39.716128,116.071259
2,158,Cainiao,Beijing,Beijing,China,40.269116,117.327802
2,159,Cainiao,Beijing,Beijing,China,40.388632,116.873625
2,160,Cainiao,Beijing,Beijing,China,40.378015,116.848371
2,161,Cainiao,Beijing,Beijing,China,39.895692,116.657109
2,162,Cainiao,Beijing,Beijing,China,39.874228,116.486262
2,163,Cainiao,Beijing,Beijing,China,39.865601,116.485124
2,164,Cainiao,Beijing,Beijing,China,39.886562,116.483348
2,165,Cainiao,Beijing,Beijing,China,39.879083,116.478515
2,166,Cainiao,Beijing,Beijing,China,39.874126,116.469099
2,167,Cainiao,Beijing,Beijing,China,39.882979,116.488691
2,168,Cainiao,Beijing,Beijing,China,39.857331,116.535593
2,169,Cainiao,Beijing,Beijing,China,39.837061,116.479278
2,170,Cainiao,Beijing,Beijing,China,39.858856,116.380766
2,171,Cainiao,Beijing,Beijing,China,39.856641,116.442873
2,172,Cainiao,Beijing,Beijing,China,39.855373,116.372509
2,173,Cainiao,Beijing,Beijing,China,39.809416,116.453118
2,174,Cainiao,Beijing,Beijing,China,40.068344,116.343391
2,175,Cainiao,Beijing,Beijing,China,40.070543,116.355507
2,176,Cainiao,Beijing,Beijing,China,40.047834,116.322693
2,177,Cainiao,Beijing,Beijing,China,40.027346,116.350927
2,178,Cainiao,Beijing,Beijing,China,40.006996,116.357341
2,179,Cainiao,Beijing,Beijing,China,40.008472,116.358021
2,180,Cainiao,Beijing,Beijing,China,40.050049,116.191491
2,181,Cainiao,Beijing,Beijing,China,40.024265,116.272801
2,182,Cainiao,Beijing,Beijing,China,39.940037,116.359696
2,183,Cainiao,Beijing,Beijing,China,39.931499,116.33596
2,184,Cainiao,Beijing,Beijing,China,39.927428,116.292277
2,185,Cainiao,Beijing,Beijing,China,39.928957,116.289045
2,186,Cainiao,Beijing,Beijing,China,39.961833,116.277343
2,187,Cainiao,Beijing,Beijing,China,39.943747,116.259243
2,188,Cainiao,Beijing,Beijing,China,39.941925,116.20947
2,189,Cainiao,Beijing,Beijing,China,39.935687,116.173262
2,190,Cainiao,Beijing,Beijing,China,39.934254,116.170713
2,191,Cainiao,Beijing,Beijing,China,39.932829,116.172771
2,192,Cainiao,Beijing,Beijing,China,39.869143,116.365736
2,193,Cainiao,Beijing,Beijing,China,39.870606,116.296295
2,194,Cainiao,Beijing,Beijing,China,39.855146,116.292584
2,195,Cainiao,Beijing,Beijing,China,39.783442,116.293387
2,196,Cainiao,Beijing,Beijing,China,39.738394,116.198988
2,197,Cainiao,Beijing,Beijing,China,39.778077,116.185647
2,198,Cainiao,Beijing,Beijing,China,39.761646,116.154747
2,199,Cainiao,Beijing,Beijing,China,39.735801,116.170989
2,200,Cainiao,Beijing,Beijing,China,39.664336,116.641989
2,201,Cainiao,Beijing,Beijing,China,39.696905,116.334217
2,202,Cainiao,Beijing,Beijing,China,39.713888,116.070501
2,203,Cainiao,Beijing,Beijing,China,39.720006,116.018402
2,204,Cainiao,Beijing,Beijing,China,39.847685,116.37803
2,205,Cainiao,Beijing,Beijing,China,39.740829,116.151298
2,206,Cainiao,Beijing,Beijing,China,39.66336,116.089342
2,207,Cainiao,Beijing,Beijing,China,39.739907,116.228498
2,208,Cainiao,Beijing,Beijing,China,40.239557,116.134257
2,209,Cainiao,Beijing,Beijing,China,39.726416,116.187616
2,210,Cainiao,Beijing,Beijing,China,39.938621,116.648869
2,211,Cainiao,Beijing,Beijing,China,39.934699,116.284582
2,212,Cainiao,Beijing,Beijing,China,40.166928,116.264673
